label,Comments
-1,"Tinjinga atibenti lobulima lobu utfuswa bo tinkhulungwane letilishumi sotsi unemali shame phuya ndzini asiyidzingi nalemali yakho nayisitabani kuphi vele dlani nebantfwabakho yekela tsine silwele kukhululek vele sidla emasimba lenkhosi yakho idla lomnotfo wetfu batfwabetfu bafile kuhlupheka, asilweli kulula tisu njengawe sifuna inhlalakahle yawonkhe wonkhe, lalabatsandza inkhosi ngulalabakhatsalele tisu tabo ngoba I policy yalapha utinaka wena ukhohlwe ngisho bakenu"
-1,Uyasenyanyisa wena SATHANE ZINI
0,Awungiphe lemali ye major v ngafa kushayeka
-1,Ibhemile lendoda le
-1,Uryt engcodven lo
-1,Labanemali abayigabatisi. Lolu luphuya lwelihedeni nje luftuswa ngu 10 000. Hambofa nyanga yemtsakatsi.
-1,Lokweligwayi kuyabhadala
-1,Lobaba uyakholwa Koda iyikhathi zokugcina lezi bhasobhani bantu bankulunkulu mfundisi mbumbulu 
-1,"Ye babe Dlamini  nkosi yami,... liyahlazeka livangeli uma nenta nje nibadzala niphindze nitibite ngeba Prophet ba Nkulunkulu yiiiiiiii maye siyasha yehheni. Labangakholwa batobese benta njani ,nasenigabisa bunjinga,litsini libhayibheli ngemuntfu lonjingile."
0,ngivelumkakhe
-1,Hhawu lapha inetwork kadze yahamba
-1,Mxm yini leeeeee?
-1,"Beyilambile inceku nkosiyam,  uyaganga lomake kuncisha inceku tibiliboco tayo"
0,"Kodwa Major nalo Khumalo wakho nentani nje nibanga tintfombi. Yena Khumalo akanaki ngani yakakhe asasukela umndeni wakho kani uyamholela umphatsa kahle!? Awu nawe Khumalo, uhlekisa ngalo Major nje kepha yena uyakutsandza. Hhayi Ntungweri man. Colelanani majaha benivele niganga nje nobabili. Mcolele Big Major s&#39;thandwa selive. Sinitsandza nonkhe, inkinga Khumalo utawukhonta kuliphi lisontfo labatamemukela ngeliso lelihlobile. Waze wabafak&#39; enkingeni bazalwane wa Ntungwa. But you are all nice guys mani."
-1,Akudlali lokwa Khumalo
0,Hhawu khumalo
-1,"Umbholofidi emdangalazwen, etihlahlen, etintfombin, Yin leyo. Batsin bazalwane bakhe?"
-1,"Uhlaza babholofidi vele, angikubon lokuphilako lokukhulwa ngulobabe .  buya Nkhosi Jesu nakunje"
-1,Mxm umdanti wa major v
0,Imimoya ngemimoya wayaphi moyongcwele
-1,Wakulaya mbholofidi wemanga ndzini. umdzala so  usashela  hawu ngumfundisi lonhani kazi labantfu lodlala ngabo uyotsini kubabe losezulwini. Nkulunkulu uyakubona ukubukile baba
0,Hhaw Khumalo......Khumalo......
-1,Angiboni kutsi usaphila major
0,Kodwa Khumalo <br>Mcolele Nceku ngiyathemba kutsi namanje akati kutsi bekentani phambi kwelibandla lucolo alube kuwe Amen 
0,Mtjele mprofeth kutsi kusemhlabeni lapha
1,Kwasa mbutfo
0,yabona 
0,"Batjele Major v!!!!!! ,Abakhuliswanga esangweni labo , laba nghhinghhitelako, bafuna kweba umnotfo wemaswati"
0,Simele licinisio yemavusana
0,sikhuta onkhe lamalanga kuts yekelan kushayela ninatsile
-1,Sitimela sisikhulu kangaka unani wena kani....kuyawube bowubhizi uphusha le content lebhedzako kantsi usemgwacweni
-1,Yekela lotjwala Nkhosi sisakudzinga.
0,litfuba lesibili baba lungisa indlela yakho na Nkulunkulu ukhohlwe nje ngedzaba yekutsi kunebatsakatsi
-1,"Kusile baba Major V. Phepha ngogo tabantu, phepa Nkhosi. Nkulunkulu akakubitanga kutsi utoshumayela. Sesiya hamba sitimela ngase Mbhikwake "
1,"Musa kujabulisa titsa ye major V. cina uchubeke nemphilo, akwenteki kuhambe kahle ngasosonke sikhatsi emphilweni.<br>Yati kutsi kukhona labakutsandzako kukhona labakwenyanyako so is life. Ungatibulali"
0,Singaphumula
1,Akungene livangeli bomake
0, Major  V angikaze ngefika kuwe bt luhlelo lakho ulungigeji one God nakavumile ngitofika
0,Malumekati wami
1,Sibonga intfutfuko lekhonsako siphakamisa kundlondlobala kwelaka Ngwane
0,Kukhuluma Bani ke??
-1,Kute umuntfu la...mxm
0,Akasho lutfo umuntfu lomdzala
1,Nkhosi Dlamini wena wekunene ngiyakutsandza babe wami inkhosi ngicela ingigcinele wena and ichubeke ikuphe emandla langetulu kunalawo lonawo nami ngiyethemba Babe angeke iphele lenyanga yeNgci ngingakanyatseli esontweni ngiva ngathi kukhona tinto letitokhwesha nanginyatsela lapho Nkhosi kadze ngagcina kuta esontweni babe ngenca yetinkinga lenginato
1,Mi prophet Nkoc  ngisho bantfu bangatsini ungabanangi banemona bosathane nawe siphiwo Sakho Nkoc
1,Maye Jesu wam uyaphila akateli akalali ngetsemba yena yedva ungumtfombo longashi
-1,Lapha z]tiyakhala la kusendumbeni mbamba
-1,ngenamyala lawa lenyanga le iyangenyanyisa 
-1,Ushunyayelwa mini jesu la. kute sisekelo selivi lasimakedze bakholwa yini bantfu umangabe livi lasimakadze langashunyayelwa Maswati vulekani emehlo tsine. Nguwuphi lomowa longa ngcungcutela losebentako lapha. Nocoshana nemilingo. Livi lankulunkulu litsini yini alivakali lapho? Leni ngobe emakhrestu agcugcutela jesus 
-1,Yinyanga lena hhayi umbholofidi
-1,yemadoda illuminati...sekuphengulwana ekhatsi esontfweni kepha ke ningayeki Jesu usekhona hhayi sikimu sekwakha imali sabo major V
0,Yena zweli
-1,Uyati letibongo atifani nje manje lelesenikucala kukhona laniyakhona .
-1,Uyagula wena Zweli
-1,Fuseg wena
-1,"Kudzala wasitsengisa boet anginandzaba nawe usilima nje , Yebo kushisa kushisa vele . Wena ungumtsengisi"
-1,Khipha letimfihlo
-1,Usilima semfana wena mfana wena
-1,Nguwe losiphazamisako. Unenkinga wena mfana wena. Leave Magawgawu alone and concentrate on your PUDEMO
0,Icalwe nguwe
-1,Yekela Magawugawu unake tindzaba takho. Kadze sakubona wena mfana wena kutsi unenkinga.
-1,Wena mfana wena uyahlanya
-1,Wena unenkinga uyati !
-1,Tfola imali utsenge litinyo vale lovovovo liphipha wesishewu....yo hhele
-1,Haibo no mfundis lapha siya. Dlalwa kuphela. Stru.
-1,"You&#39;re mad wena ,zweli asikaphatfwa nguwe la"
-1,Fokofo wena Zweli
-1,Nguwe lobulele umzabalazo
-1,"Mxm Zwelie suka awusiyekele  wena uyasenyanyisa suka mina sengidziniwe nguwe,"
-1,"Wena uyagula mbamba, you do not respect these struggle, you want the entire nation to worship you, wena uhlala ukhuluma lana tindzaba temzabalazo utsi nalabasebenta ka water batsite they want to help emzabalazweni so nitosebentisa emaphayiphi emanti to push struggle, uyasenyanyisa nje"
-1,Uyagula wena Zweli
-1,Uyanya wena Ngan nawe watsi akosiwe eveni
-1,Khuluma wena sesi liciniso limcoka abashidabane
-1,"Ngicela simcoleleni Zulu baka Ngwane ngiyacela, imatima lemphilo emaSwati awasitani nangemalangeni lalishumi  nawusebuhlungwini kepha bafuna i democracy kodvwa bacedza imali kubo X-Change nakuma Pizza. Emaswati akatimiseli ngiyanitjela mine.. naGawuzela ngiyambongela kubaleka ayephesheya kwetilwandle futsi noma angasebenta emafenini  kulungile alandze umndeni wakhe bahambe lamahlatsini lekutsiwa live."
0,Kube sekudlanga bo major v wasuke watsi utamnika lo 2k lamtsebisa wamvala
1,"yenta siciniseko sekutsi ululophephile, maye ukhatsatekile ngetimphile tetfu"
-1,Licili langocobo kute lesingakubonga kuwe safa lapho
0,Ngyakuva Mine wena Cece kodwa lokwenta kuts ngingakuva kahle kuts uvumela nangu lofuna bukhosi bakubo yena akafun I khululeko  kodwa ulwela bukhos
-1,singemaswati sicela ningamtsatsi  lomuntfu lol akasiye muntfu longametsemba 
1,siyabonga sisi lawo mavi ebuhlakaniphi
-1,Uyanya wena Jezebel
-1,Uluhlanya wena ngan bogawzela bebasho kanje but bowuphiphita nyalo sowuyavuma ...mxm loluhlanya lolu
1,"Ngiyabonga mine sis. umanje ukhuluma liciniso Ntimandze, mvelinchanti utakuvikela kulabosathane"
0,Khuluma laMtimandze
1,Cece cc uyalikhuluma locinisa. Inkinga lo minister usho kutsandza tinkhundla ngeku nyatsela emaswati. Bangangena lapha bangenela kusebentela mswati hhayi lamaswati. Kodwa kudvute mbili. asisasito tihlali telive letfu. Kubuhlungu sihlupheke sibancane kangaka. Yi Taiwa yihlomisa mswati ngetikhali tekubulala lamaswati. Washo Gawuzela kutsi ungamane usale wedwa. Cina Cece cina Mbokodo.
1,Rest in peace small unkulunkulu abhandishe bonkhe labatsintsekile
1,Siyakhala siyamunyaaChaaa syagedla ukhona
1,Awu madoda akasekho uSmolisi may his soul RIP
1,Ulale ngoxolo ndoda yamadoda
1,"Hawu  alale ngokuthula UBafoza( kodwa phela indlela yethu sonke), UNKULUNKULU aqinise umndeni wakhe nabobonke abasondelene naye!!!! , kwabuhlungu kodwa."
0,Smalls is no more..hawu bafowethu kanti uhlaba unjan
0,Hamba chawe ngeke sitsini Batsatse Siyagedla
1,Hambe kahle Smallz
0,Akanikwa litfuba Gedlembane emngcwabeni. &quot;Siyakhala siyamunya...&quot; 
0, utsi slwane ume njani next week ngfuna kujika la
-1,Uyayibulala 
1, kwentiwa yini kutsi ibeyinhle kaso
0,Ibilile yaphindze yaphola
1,Batsi lokumcokwa kubuya bhuti 
0,Nawe smallz ubova ukhipha lesigcoko phela
1,uhlobe kakhulu umsebenti bhuti. Ngifisa shengatsi uyicedze le video  ungakasho kustsi subscribe  ngobe babukeli incumbi banake lolokwenteka lamvakwakho. Asewente lencane  I video lekhumbuta bantfu kutsi ba subscribe
-1,Lol kubukwa mine lamgwaceni
0,Silwane. !! I temperature njani
-1,Hehehe kute sifuba Lokwasilwane  aketsi instead umunye lo petrol
1, ungaphindzi umboleke uyibulele imoto uyavuma nekutsi ibilile&#39; bafwethu imnandzi lentfo yenu chubekani njalo...
-1,...ishishimba nam ishaya lamatje ishaya lamatje …sibindzi sekufuna kuyibona futsi
-1,Loooooool Slwane asekatsi ngingcundze ligede yintfo lencane leyo
0,"slwane wayimosha kangaka pho, ngeva kubhlungu lakim"
0,Ngayika Lo S
0,Siswati sakitsi yenabakitsi.....
0,Slwane slwane. Sibindzi lanaso wekufuna kuya eNelsptruit
-1,tfola lomfana labatsi nguWandile  atokusita ushaye lomuntfu
1,ngiliSwati lelitichenyako ngbuve balo... 
-1,Uyibulele lemoto. Ungaphindze umboleke... 
1, ngenhlonipho
0, yabona nababtfwana naba
0,kodwa guys kuzothiwa syahlanya ilokuhleka
-1, ngihleka kangiyekeli wentani smolizi ufuna kumisela gogo ngenhlitiyo kodwa gogo usile sewufuna kubanjwe smallz manje 
0,Hawu wentiwani lomuntfu lomdzala
0,Asabe smolisi
1,yo ngazengafa ukuhleka sekuhuhlungu isisu. Guyz gud job indeed
-1,Smalliz udlala ngagogo
-1,kodwa wena ugangelani ngagogo
-1,Gwaaaaa yenine man yiiiii ngahleka ngate  ngakhala
-1,nagogo naye angatfola skhatsi unayo lenhlase yebu tsotsi.
-1,Utawu culekisa logogo wena man
1,ngahleka ngaze ngatitfundzela gogo sentani kepha
1,Ja neh ngaze ngahleka shem
-1,Ayi mani  yati kutophela lamalana lamashumi lamabili nakunye savile nguwe lomuntfu
-1,Ngunangu smallz ngibatse ngiyamtjela kutsi angiletsele libhakede ngitotikhulula layindlini Gogo 
-1,kahle kahle loku ngiko konkhe lebakadze ngidzinga kukubona lamuhla! ;lolisizi lolu lwangempela! smallz ucishe watonela lomuntfu lomdzala 
0,titfo takho babe
-1,gogo ukhuluma ngatsi igcwele mbamba lengungu. Na smallz ungikhumbuta labafana bema ngangawane lebebadzelela kakhulu umusa wa babe Ibu
1,Yiba nesibindzi smallz ungesabi
1,siyabonga mndeni wetfu siyanisekela sibaseMsunduza
0,Nginako lokutsi nje lamasoja afuna kutsi ungiphekeletele
-1,unelihaba kodwa wena
0,Smallz ngeke wente gogo so!!    
-1,utawubangela lomuntfu lomdzala sifo senhlitityou
0,     Kodwa smallz umentena gogo
0,Yati nine
1,Kodwa Gogo Nasmallz sinikhontile madoda
1, unesono yatingabe gogo akaphuki yin.. Uyahekisa bhuti ngikukhonte kasdudla chubeka kanjalo
0,smallz unesimo sekuba ngu Mo
-1,ngicela ningiyekele shem
-1,Kodwa jesuuu ngaze ngahleka hawuuu smallz umentan logogo...kodwa logogo ulicili
1,Yiba nesibindzi ngoba kusasisu loku lokungisa lena kunako loku kutsi kungitsi
-1,Yabona gogo usuke angakakhulumi mangakatishayi litsanga 
1,"sigicneni singulabajaulile kusosonkhe lesikhatsi lesitawuhlala ngaso ekhaya <br><a href=""http://www.youtube.com/results?search_query=%23ngenhlonipho"">#NgEnHlOnIpHo</a>"
1,Ugogo usile 
0,gwaaaaa gwaaaaa  ei  Smallz  umentani lomuntfu  lomdzala ..yeyi  Nkosiyami  akusim  ngunangu  Smallz ngibambelen yena
1,ngihleka toti angiyekeli
0,Kodwa gogo
0,Gwaaaaaaaaaaa ngihleke kwacishe kwaphuma kwangekhatsi
-1,Smalliz kahle kutfusa umuntfu lomdzala
0,"smallz,,,,,,,,,,,,umentani  logogo<br> Sovele utikhululile gogo looool uyabona gogo"
1,"bantfu batsi, logogo kodwa bamtsatsaphi? Sengihleke Kwaze kwabuhlungu isisu. Ngibani lolowenta naloncondvo wekutsi kwentiwe lelijaha lelincane gogogo, loyo mungtfu uhlabaniphe implela "
0,Yewena Lunga umentani lomuntfu lomdzala
0, smallz umentani loGogo bakitsi baf0wethu
1,"Hhayi, ngalesikhatsi gogo ashuka leliphephandzaba. Ngubani lotikhumbula akwenta loko?<br>Liswati mbamba."
1,ATANIBAMBA LAMASOTJA LENGEPHANDLE! <br>siyabonga kusinika le video iyahlekisa
-1,Jhooooo kodvwa smallz utwuabulala lomuntfu lomdzala wena
1,ugeza tandla
1,"Kodwa gogo hai hai,ngihleka toti kepha lesimo sibucayi"
0,Ngibambelen yena 
1,sinikhontile maja
-1,ngeke ulibone lizulu
-1,Kodwa nkosyam gogo cishe watonela
-1,kunesikhatsa sebunyama
-1,Fuseki niyasangana nina abaniyekele 
0,"nginibukela ngiseSpain,ngiboshelwe endlini nigcela nihlale ekhaya"
0,Lol gogo tibambe
0,Kusasisu gogo
0,Mara smallz
-1,Yiiii ...... Utiyekelele gogo sisu satentela
0,anihlali ningahlekisi madoda
-1,batangicosha lamsebentini....wuuuu ngate ngahleka Gogo mara
-1,Hahahahaaaaaaaaayabona xem Simolisi unesono kodwa
-1,gogo ufuna babanjwe smallz usile Gogo
0,ngibe wekucala kubhala umuvo wami lapha
0,Wenten slwane  gogo
0,Awume pholo kubala tinkhukhu lapho 
-1,Gogo soshiya nalemali ngenca yekukwata xem wena Silwane police a coming 4 u
1,Ngiyabusiseka ngani guys
0,Ubuyaphi smalls
1,emahlaya lamnandzi siyabonga
1,"ngikhumule gedlembane nkosiyami, ngubani langibonele yena"
-1,khama biliat<br>tawutega wena ngishaye intsenga hahahahahha
0,Akayfuni imali yemlomo gogo
1,ngiyatsandza umasenijabula madoda
-1,Angiyifuni imali yemlungu
-1,Wadlisa licembu Gogo 
1,Ngiyanitsandza bafowethu
1,kuhle loko jaha lakitsi
0,weze waba manti lomuntfu lomdzala nkosiyami
-1,Mbophe loyo uyedzelela
0,Gogo memingwenya asesiwashwe nalesidziya ...
-1,sesishoda ngemanti lesidziya
1,Gogo MemiNgwenya eish makitsi angitisoli lokucedza sikhatsi nemali yami ngibukela nine
0,bengingati kutsi umuntfu lonaloluhlobo lolo lwengati akadliwa yingwenya. 
1,Slwane utawubulala muntfu lomdzala wena
-1,"Mtege wena S&#39;lwane, ushaye lentsenga"
0,gog netingwenya
0,Gogo washiya imali ngekuphushwa njee
0,Yegogo ngatsi uphuma e mfuleni  mara lokucakako kwekutsi ungene njani ngelifaskoti kanye nepitikoti.<br> Slwane ngiyakucela xem ungadlali ngagogo ngoba nyalo uvoma timpahla ngenxa yakho.<br>Kodvwa ngasho kutsi yehheni nabatukutulu maye batakugugisa xem gogo <br>Thank u so much bongwane <br><br>
-1,Slwane soze walibona izulu  khona  sengifile nya
0,make netinja
0,Tigwenya leti
-1,    Kepha gogo badlisile
-1,uphefumula ngelinceba
-1,Gogo eish udlisa licembu
-1,ngiyakusaba kufa lala ngkuthula chawe lemachawe
0,washa madoda
1,"sinitsandza kakhulu, chubekani nisinike lamahlaya enu siyawatfokotela impela"
-1,uyangibulala
0,Gogo ak&#39;ltfoli litfuba lekukhuluma moc ke
0,Gogo wami
1,Usindzile kulemphama namuhla
1,ngiyayitsandza indlela lohambangayo
1,Ngiyatifela ngawe gogo nebafana bakho 
1,Umhlaba wonkhe unani angitsi ngasho kudzala yini ompetha jikelele niyathandzwa buka uma senitsintsa  kodwa smallz bekungamele utsintse gogo letakho fanele tihambe emoyeni. Nivotelwa kanjani?
0,Ahhh solo ngiyasho Gogo luhlobo lwakhe yati 
0,Johane vula ligede nasi stokvel
1,mnikeni likema lakhe naye akhulume bo ngisuka e SOUTH AFRICA MZANSI FOR SURE (john vulgate nasi stoko) khetsa umayikhethela uyababona nawe baningi man 
0," siphi sitoko, singisi bazalwane....."
0,achiiiiiiii siphi lesitoko
0,Nikani gogo likema lakhe bo smallz
1,takhamuti tenhlitiyo yami
0,Johane nkosiyami vulela lomntfwana
0,Bongiswa
1,ngiyanitsandza nonkhe
1,Sitokifela mara gogo <br>Maye ngiyanitsandza bonkosi <br>siyanibongela kunifanele impela
1,Ngwane lomuhle
0,yejohane vele ngatsi nasi sitokofela gogo ushonjalo
0,Johane nagogo
1,kucabanga kwenu kukhaliphile
1,"Ye Johane.. Gogo ungentani , siyanibongela madoda"
1,"Siyabonga kucaphunwa gogo nebatukulu, takhamiti tenhlitiyo yami."
0,Hay.. .m ..mani madoda Eswatini
0,Ha kani!!!
1,"Hawu yebantfwana,utawususa lofela kusale stoko. Siyabonga, kuyelapha lelenikwentako, kungumutsi"
0,mine madoda
0,Kuvotwa kanjani gogo sivote
1,Gogo nasekatsi &quot;sitawususa loFela kusale Sitoko&quot;.Nawe Smallz ubomnika phela likema lakhe lekukhuluma gogo 
1,"Yerrrrr guys maaaan ngigcweeeele ngani,, eish ngatsi ningawina yati mina ngiyanitsanda Niyacula shem yerrrr"
1,Smallz ungabokhuluma konkhe labanye bantfwana bangasatfoli nelitfuba. Cha umbhalele kahle lenkhulumo wena Slwane. Siyakubongela ngobe kukufanele
1,seskhona natsi. Kuncono kutsi name wephute kunekutsi ungafiki nhlobo
1,Sinitsandza hure 
0,nguSlwane lolowentashengatsi ubhalale Smallz lengkhulumo
0,"Sekukhuluma mine, phela sinikana emakema"
1,"Mine Nginitsanza nonke, nguGogo Ngu Smallz naSlwane.<br>ukwentenjani loko, asewente lolokuniko mpela"
1,Naw loShuni Slwane lawbonako   uma Smallz ajayiva kutsi uhlobile egcekeni
1,ngiyayitsandza kelencenye lena
0,yejohane 
1,ngavota Slwane cala ngami lolotsi utasentela kona
1,haha
-1,imilente yaslwane
-1,Ehhe Johane 
0,Tibanjwa ngaletikudlako
-1,"Uyadzelela Gedlembane ngiyadzelaaaa! &quot;Uma mangathi  ucela ngize nomnganam oFresh,ngzokwenzenjan!?&quot;"
-1,Vele wena sewaba ngulomduva
1,bantwana bafuna kujabula kumatasatasa
-1,GOGO HhAYI SONATSELANI
1,Nginitsandza kwekwengca badlali bami
1,Ayi Gogo uhamba embili 
0,Ayy Gogo musakumosha tinyembeti taSmallz
1,"Ngitsandza lendlela leniveta ngaye imphilo yasemphakatsini wenu, bogogo betfu baphila kanjena"
1,"Ngiyitsandza impela kelena, kona lolohlabela embili"
1,"yi video yami yekucala ngca kutsi ngiyibukele , ngacabanga kutsi salukati mbamba, ngadiddeka impela"
1,"ngiyanitsandza madoda, sengifuca emalanga kutsi nginibone"
1,uhamba embili futsi ngiyakutsandza
1,ngikutfulela sigcoko
1,Waze wacula gogo kantsi uculela emanga  uyintsandvokati yami
1,Gogo uyakhona kuhlabela
0,Uyi character gogo
1," lapho bengicabanga kutsi nginelilanga lelibi, niyangelapha "
0,Kkkkkk Gogo uphiwe liphimbo nami besengibona kushoniwe impela
-1, bantftu bacabanga kutsi gogo msikati
-1,Nginele kuyibona lemoto yasemoshali ngathi lena yokulanda dumazile
1,Hlabelela kamnandzi gogo
-1," talukati vele tiyatitsandza tindzaba, ngekubona nje imoto yase dups "
0,livi lagogo
1,Ey nganambitsa kakhulu ufakeni yena nangu
-1,facata phela bakitsi
0,Gogo ayi niyisiyeta lento yenu
1,ngake ngalibukele VIDEO kulesikhatsi lesengcile kodwa cha UMONA PHASI GOGO unelivi lelihle uma ungangikholwa chubeka ubukeli ema video akhe utativela wena utotsi ngakutjela 
1,Cha kulena ngiyanivuma nkosiyami  yoooooooo chubekani kangako madoda!!!!
1,labobhuti laba bodchwephesha ngiposa lutsandvo lusuka eMsunduza
1,mine nje ngiyatitsandzela le video <br>muhle umsebenti bobhuti
-1,mine ngitfuswa kutsi batsi gogo uyinja… ..kusho smallz
1,Ngaze ngamthandza logogo
1,Gogo ungikhumbuta gogo wam lotala babe
-1,bindza la emlonyeni ulalele lona losibitile
0,Gogo uyachaza
0,Inja ayiyilum lenye 
0, hawu nkosiyam! Uyabo
1,Hhooo Slwane &quot;lemoto ifana lelivi laSimakadze ayiweli phansi ingakafezi umsebenti&quot;Ay cha nikhona 
1,Gogo ngichazwa livi yooooh
-1,yaz labafana banenkinga emakhanda laba
-1,eyi nganambitha kakhu ufakeni yena nangu
1,@ gogo waze wacula kamnandzi.  Mane lelihlazo lekukhala mahhala love u guys
1,gogo cha uyahlekisa bantu shemi
-1,"Yoh yoh Gogo mara shem, utonatsa nepoison kutsandza kunatsa"
0,Inja Aylumi lenye
-1,"nganambitsa kakhulu mani, ufakeni yena nangu"
0,Leliculo langikhumbuza  mkhulu wami &lt;3 &lt;3
1,but I like this massage &quot;iyaphi imoto yemsebenti ekhaya&quot;
1,Yabona gogo I salute you
1,Slwane  Gogo  Smallz hhai  wht  a  combination  kumnandzi  bafe2  gogo u rock  neh
1,Naloke lami <br> Ayy ufake Ini Lana <br>uhamba embili
0,yi futsi cha.. uyabona.. sikhona nasalukati nasi
1,Slwane kwamele ucolise ku ngane ngane
1,Niyalwenta lusuku lwami bafowethu nichubeke njalo YEHHENINI gogo no smallz nosilwanyana
0,Awu kodvwa nkhosiyami 
1,Ave ningichaza niyati
1,ngiyakutsandza yegogo
1,nigtfokotile kubona bogogo naSlwane eGables. Slwane utsite kimi &quot;nginatsani ngabindzisa kaso&quot;
-1,"Cha gogo uyatati tindzaba, akafuni kusolwa"
1,"muhle umsebenti bafana,  Gogo uhamba embili ungikhumbuta bogogo bangempela , angiphuthelwa ama episodes wenu. Chubekani nibambe yona."
1,Bengisengkhala....... Nithula kakhulu man smallz kan nimnandz ebonine nath sinanas sa January 
1,yemake! Livi laGogo
-1,"Hhayi ngatsi nisidojile,,,  yini lelenatfwe ngugogo phela ngoba nimujubile"
-1,Loool    kodwa gogo. Suze unatse umvusankunzi.
0,kodvwa gogo bo!
-1,Gogo akakasho namuhla  kutsi yehhenini webantu 
0,gogo uyayenta lowu  kkkkk
-1,Ayi kodwa gogo ngiyokubona nje imoto yasemoshali
-1,gogo nkosiyami lihlazo lekungena ngengoma
-1,ludlame lwagogo
1,Yah neh ugogo ate ahlabele kamnandzi uyangibusisa logogo bo
0,Gogo wena wakhuliswa ngugogo yini utati tonke tindlela tabogogo
-1,Manje slwane solo uyatentisa
1,ngiyamtsandza  gogo uneliphimbi  lelimnadzi .
-1,gogo sonatse umvusankunzi
-1,Ugogo sogcogce nemali yomnikelo kuSmallz 
1,Ayi sesivile 
0,YeSmallz nimshiyelani gogo manje
1,gogo kanye nemtukulu wakhe cha nihamba embili
-1,"Yasuka kugogo naSlwane, mshiye wena gogo nalemoto yakhe yekulayisha timoto letifile"
-1,Unenkinga yagogo slwane  yooo  gogo the gogo
-1,Mara slwane utsenge imoto yekulayisha timoto letifile 
1,gogo kanye 
1,Slwane unaye gogo shemu
1,lona uhamba embili!!! Cha angikakakuboni kuta keloko
1,Tjoooooo gogo the gogo Jesu kumnandzi emhlabeni
-1,Bakutsatsaphi nje 
-1, kodvwa gogo nebakitsi  iphi lemoto yekulayisha timoto letifile
1,unagogo lohlukile slwane
0,Iphi i breakdown Slwane? cha ukhona gogo
-1,Bonkhe boGogo banje noma ngulowaSlwane nje
0,ungentani nje gogo
-1,Awu yahamba inkhinsela madoda
-1,Stupedi
1,bekulicembu lelihamba lelihle leli
1,Viva gedlembane 
1,Jesu gedlembane wentani usibusiso yoh Mirenda wacishe walahlekelwa nguye
1,kuhle kwendlula konkhe lokwake kwaba khona
0,Hayi cha.
-1, emhlabeni P.O box kuyanyiwa
1,lol Gedlembane waphiwa lithalente
1,Ngiyamthandza Gedlembane uyeva ngihlala njalo ngibukela umsebenti wakhe
0,Hawu
1,Yhoooo uyangichaza gedlembane shame 
1,lamajaha kwamele ateme tuchwephesha lobungetulu kulomsindvo nale video kute batewufeza emaphupho abo kona hhayi cha sebahambile ngelizinga 
-1,Slwane unemanga kakhulu 
1,Genes ahamba abe homosexual 
1,Gwaaaa
-1,PO Box kuyanyiwa
1,umdlalo wakho siyagedla bewumuhle eThabankulu....
-1,ngivele ngifi lapha nasekatsi nembala
1,cha ngiyakuvuma Gedlembane na mirenda wakho lokunika intsambo
-1,Lol ayi lendvodza iyangicedza
-1,Oh kwenteka kimi ngoba ngistjupedi
1,ngingatfokota kubona Mirenda
0,Mirenda utangikhumbula
-1,Awuuuu Smallz wena sowuyashaya ... asuu Kodwa Slwane
-1,Ayi kodvwa leya dicotyledon iyangcedza ..yena Mr Smallz asekavuma suka man!!!
0,madoda ngifuna kutobuka imicimbi yenu cela nite nangalapha eS.A ngiyacela
-1,Utsi &quot;ningasangifaki lentsamo ayisaluleki kahle&quot; ayi cha
1,Awu kodwa Mirenda <br>niyayati intfo leniyentako madoda
0,mina sengfuna kubona Mirenda xem
-1,Mirenda uphatsisa gedlembane ngenhloko yati... sicela Mirenda avele la atikhulumele shemu kutsi wentiwayini lomntfwana afane naSlwane
-1,Ngikudzabulela nkosiyami
1,hahaha ayi cha…sonkhe sikhatsi nangifua kucedza kucindzeteleka lokubangwa tincwadzi..ngvele ngibukele smallz slwane na gedlembane...ayi cha siyatfutfuka bafetfu.....ngihleke icala le ividiyo yate yayophela
-1,Slwane uyatsanda kwenta labanye tilibali ngalesi silungu sakhe se Science Mirende yeka kudlala ngaGedlenmbane<br><br><br><br>      semane P.O .Box emhlabeni kuyanyiwa
-1,"Ay myekeni agoduke, vele emhlabeni P.O box kuyanyiwa... "
1,I Science itsini?? 
-1,Wooh mufake kani
-1,looooooool kudlaliwe ngagedlembane laaaaaa
-1,&quot;Ye Messiah ngiyacolisa lekuta ngingakakbhaz&quot;&quot;amantiiiii&quot; kodwa Slwane mfe2 awusiko kahle yat ayy kuyaguleka la kudzingakala sibhedlela sangempela
0,phayiloni
0, Smallz caphela nga Maphindi ku Slwane
-1,Nate nadlala ngeliciniso
-1,"ya Gedlembane, vele loMirenda uyenyanywa, sicela kumbona kemanje"
-1,angisakhoni kuhlala nginganibuikeli sekungatsi nitidzakamiva tami angikhoni kulala ngingakaniboni
-1,Emhlabeni P.O Box kuyanyiwa Mirenda maye utangkhumbula you guys Slwane 
0,Gedlembane: Ngiyakhanya nje mine?<br>Smallz: Mhlawumb&#39; ufak&#39; i-maskhi
-1,"Yabona Slwane!!!!!! uvele ashaye le science yakhe akhulume singisi asangane Smallz avume konkhe, atsembe Gedlembane  "
-1,mangingekho tiyamakulana
-1,utsingewami lomntfwana. lo mntfwana uyakhanya ngiyakhanya mina 
1,"     Emanti emanti, mirend mirenda siyagedla uyibhoza"
